Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
E76.9     	გლიკოზამინოგლიკანის მეტაბოლიზმის დარღვევა, დაუზუსტებელი (E76.9)	0
E77.0     	ლიზოსომური ფერმენტების პოსტტრანსლაციური მოდიფიკაციის დეფექტები (E77.0)	0
E77.1     	გლიკოპროტეინის დაშლის დეფექტები (E77.1)	0
E77.8     	გლიკოპროტეინების მეტაბოლიზმის სხვა დარღვევები (E77.8)	0
E77.9     	გლიკოპროტეინის მეტაბოლიზმის დარღვევა, დაუზუსტებელი (E77.9)	0
E78.0     	ჭეშმარიტი ჰიპერქოლესტერინემია (E78.0)	0
E78.1     	ჭეშმარიტი ჰიპერგლიცერიდემია (E78.1)	0
E78.2     	შერეული ჰიპერლიპიდემია (E78.2)	0
E78.3     	ჰიპერქილომიკრონემია (E78.3)	0
E78.4     	სხვა ჰიპერლიპიდემიები (E78.4)	0
E78.5     	ჰიპერლიპიდემია, დაუზუსტებელი (E78.5)	0
E78.6     	ლიპოპროტეინთა დეფიციტი (E78.6)	0
E78.8     	ლიპოპროტეინების მეტაბოლიზმის სხვა დარღვევები (E78.8)	0
E78.9     	ლიპოპროტეინების მეტაბოლიზმის მოშლა,  დაუზუსტებელი (E78.9)	0
E79.0     	ჰიპერურიკემია ანთებითი ართრიტისა და პოდაგრული ავადმყოფობის ნიშნების გარეშე (E79.0)	0
E79.1     	ლეშ-ნიჰენის სინდრომი (E79.1)	0
E79.8     	პურინისა და პირიმიდინის მეტაბოლიზმის სხვა დარღვევები (E79.8)	0
E79.9     	პურინისა და პირიმიდინის მეტაბოლიზმის დარღვევები, დაუზუსტებელი (E79.9)	0
E80.0     	მემკვიდრული ერითროპოეზური პორფირია (E80.0)	0
E80.1     	კანის მოგვიანებითი პორფირია (E80.1)	0
E80.2     	სხვა სახის პორფირიები (E80.2)	0
E80.3     	კატალაზას და პეროქსიდაზას დეფექტები (E80.3)	0
E80.4     	ჯილბერტის სინდრომი (E80.4)	0
E80.5     	კრიგლერ-ნაიარის სინდრომი (E80.5)	0
E80.6     	ბილირუბინის მეტაბოლიზმის სხვა დარღვევები (E80.6)	0
E80.7     	ბილირუბინის მეტაბოლიზმის მოშლა, დაუზუსტებელი (E80.7)	0
E83.0     	სპილენძის მეტაბოლიზმის დარღვევები (E83.0)	0
E83.1     	რკინის მეტაბოლიზმის დარღვევები (E83.1)	0
E83.2     	თუთიის მეტაბოლიზმის დარღვევები (E83.2)	0
E83.3     	ფოსფორის მეტაბოლიზმის დარღვევები (E83.3)	0
E83.4     	მაგნიუმის მეტაბოლიზმის დარღვევები (E83.4)	0
E83.5     	კალციუმის მეტაბოლიზმის დარღვევები (E83.5)	0
E83.8     	მინერალური მეტაბოლიზმის სხვა დარღვევები (E83.8)	0
E83.9     	მინერალთა მეტაბოლიზმის დარღვევები, დაუზუსტებელი (E83.9)	0
E84.0     	ცისტური ფიბროზი ფილტვისმიერი გამოვლინებებით (E84.0)	0
E84.1     	ცისტური ფიბროზი ნაწლავური გამოვლინებებით (E84.1)	0
E84.8     	ცისტური ფიბროზი სხვა გამოვლინებებით (E84.8)	0
E84.9     	ცისტური ფიბროზი, დაუზუსტებელი (E84.9)	0
E85.0     	არანეიროპათიული მემკვიდრული ოჯახური ამილოიდოზი (E85.0)	0
E85.1     	ნეიროპათიული მემკვიდრული ოჯახური ამილოიდოზი (E85.1)	0
E85.2     	მემკვიდრული ოჯახური ამილოიდოზი, დაუზუსტებელი (E85.2)	0
E85.3     	მეორადი სისტემური ამილოიდოზი (E85.3)	0
E85.4     	განსაზღვრულ ორგანოში განვითარებული ამილოიდოზი (E85.4)	0
E85.8     	ამილოიდოზის სხვა ფორმები (E85.8)	0
E85.9     	ამილოიდოზი დაუდგენელი (E85.9)	0
E86       	სითხის მოცულობის შემცირება (E86)	0
E87.0     	ჰიპეროსმოლარობა და ჰიპერნატრიემია (E87.0)	0
E87.1     	ჰიპოოსმოლარობა და ჰიპონატრიემია (E87.1)	0
E87.2     	აციდოზი (E87.2)	0
E87.3     	ალკალოზი (E87.3)	0
E87.4     	მჟავა-ტუტოვანი წონასწორობის შერეული დარღვევები (E87.4)	0
E87.5     	ჰიპერკალიემია (E87.5)	0
E87.6     	ჰიპოკალემია (E87.6)	0
E87.7     	ჰიპერვოლემია (E87.7)	0
E87.8     	სითხისა და ელექტროლიტთა ბალანსის სხვა დარღვევები რომლებიც არ არის შეტანილი სხვა რუბრიკებში (E87.8)	0
E88.0     	სისხლის პლაზმის ცილების მეტაბოლიზმის დარღვევები, რომელიც არ არის შეტანილი სხვა რუბრიკებში (E88.0)	0
E88.1     	ლიპოდისტროფია,  რომელიც არ არის შეტანილი სხვა რუბრიკებში (E88.1)	0
E88.2     	ლიპომატოზი,  რომელიც არ არის შეტანილი სხვა რუბრიკებში (E88.2)	0
E88.8     	სხვა დადგენილი მეტაბოლური დარღვევები (E88.8)	0
E88.9     	მეტაბოლური დარღვევა, დაუზუსტებელი (E88.9)	0
E89.0     	სამედიცინო პროცედურებით გამოწვეული ჰიპოთიროიდიზმი (E89.0)	0
E89.1     	სამედიცინო პროცედურებით გამოწვეული ჰიპოინსულინემია (E89.1)	0
E89.2     	სამედიცინო პროცედურებით გამოწვეული  ჰიპოპარათიროიდიზმი (E89.2)	0
E89.3     	სამედიცინო პროცედურებით გამოწვეული  ჰიპოპიტუიტარიზმი (E89.3)	0
E89.4     	საკვერცხის ფუნქციის დარღვევები, გამოწვეული  სამედიცინო პროცედურებით (E89.4)	0
E89.5     	სათესლე ჯირკვლების ჰიპოფუნქცია,  გამოწვეული სამედიცინო პროცედურებით (E89.5)	0
E89.6     	სამედიცინო პროცედურებით გამოწვეული თირკმელზედა ჯირკვლების ქერქოვანი (ტვინოვანი) შრის ჰიპოფუნქცია (E89.6)	0
E89.8     	სხვა ენდოკრინული და მეტაბოლური დარღვევები, გამოწვეული სამედიცინო პროცედურებით (E89.8)	0
E89.9     	სამედიცინო პროცედურებით გამოწვეული ენდოკრინული და მეტაბოლური დარღვევები, დაუზუსტებელი (E89.9)	0
E90*      	ალიმენტური და მეტაბოლური დარღვევები იმ ავადმყოფობების დროს, რომლებიც შეტანილია სხვა რუბრიკებში (E90*)	0
F00.0*    	დემენცია ალცჰაიმერის დაავადების დროს ადრეული დასაწყისით (G30.0+). (F00.0*)	0
F00.1*    	დემენცია ალცჰაიმერის დაავადების დროს მოგვიანებითი დასაწყისით (G30.1+) (F00.1*)	0
F00.2*    	ატიპიური ან შერეული ტიპის დემენცია ალცჰაიმერის დაავადების დროს  (G30.8+) (F00.2*)	0
F00.9*    	დაუზუსტებელი დემენცია ალცჰაიმერის დაავადების დროს (G30.9+) (F00.9*)	0
F01.0     	სისხლძარღვოვანი დემენცია მწვავე დასაწყისით. (F01.0)	0
F01.1     	მულტიინფაქტური  დემენცია. (F01.1)	0
F01.2     	სუბკორტიკალური ვასკულარული დემენცია. (F01.2)	0
F01.3     	შერეული კორტიკალური და სუბკორტიკალური სისხლძარღვოვანი დემენცია. (F01.3)	0
F01.8     	სხვა სისხლძარღვოვანი დემენცია. (F01.8)	0
F01.9     	დაუზუსტებელი სისხლძარღვოვანი დემენცია. (F01.9)	0
F02.0*    	პიკის დაავადების დროს განვითარებული დემენცია (G31.0+) (F02.0*)	0
F02.1*    	დემენცია Creutzfeldt-Jakob-ის დაავადების დროს (G81.0+) (F02.1*)	0
F02.2*    	დემენცია განვითარებული ჰუნთიგტონის დაავადების დროს (G10+). (F02.2*)	0
F02.3*    	დემენცია პარკინსონის დაავადების დროს (G20+). (F02.3*)	0
F02.4*    	დემენცია შიდს-ით  დაავადების დროს  (B22.0). (F02.4*)	0
F02.8*    	სხვაგან უკვე მოყვანილი, სპეციფიური დაავადებების დროს. (F02.8*)	0
F03       	დაუზუსტებელი დემენცია (F03)	0
F04       	ორგანული ამნეზიური სინდრომი, რომელიც არ არის გამოწვეული ალკოჰოლით ან სხვა ფსიქოთროპული ნივთიერებების მიღებით. (F04)	0
F05.0     	დელირიუმი, რომელიც თან არ ერთვის დემენციას. (F05.0)	0
F05.1     	დელირიუმი, რომელიც თან ერთვის დემენციას. (F05.1)	0
F05.8     	სხვა სახის დელირიუმი. (F05.8)	0
F05.9     	დაუზუსტებელი დელირიუმი. (F05.9)	0
F06.0     	ორგანული ჰალუცინოზი. (F06.0)	0
F06.1     	ორგანული კატატონური დარღვევა (F06.1)	0
F06.2     	(შიზოფრენიისმაგვარი) ორგანული ბოდვითი აშლილობა. (F06.2)	0
F06.3     	ორგანული ბუნების (აფექტური) აშლილობანი. (F06.3)	0
F06.4     	ორგანული დარღვევა შფოთვით. (F06.4)	0
F06.5     	დისოციაციური ორგანული აშლილობები. (F06.5)	0
F06.6     	ემოციურად ლაბილური (ასთენიური) ორგანული დარღვევა. (F06.6)	0
F06.7     	მსუბუქი (რბილი) კოგნიტიური აშლილობები. (F06.7)	0
F06.8     	ტვინის დაზიანებით და დისფუნქციით, აგრეთვე ფიზიკური დაავადებით გამოწვეული სხვა სპეციფიური ფსიქიკური აშლილობები. (F06.8)	0
F06.9     	ტვინის დაზიანებით და დისფუნქციით, აგრეთვე ფიზიკური დაავადებით გამოწვეული სხვა სპეციფიური ფსიქიკური აშლილობები, დაუზუსტებელი (F06.9)	0
F07.0     	ორგანული პიროვნული აშლილობანი (F07.0)	0
F07.1     	პოსტენცეფალიტური სინდრომი. (F07.1)	0
F07.2     	პოსტკომოციური (ტვინის შერყევის შემდგომი ) სინდრომი. (F07.2)	0
F07.8     	თავის ტვინის დაზიანებით და დისფუნქციით, აგრეთვე სომატური დაავადებებით გამოწვეული სხვა პიროვნული და ქცევითი აშლილობანი. (F07.8)	0
F07.9     	თავის ტვინის დაზიანებით და დისფუნქციით, აგრეთვე სომატური დაავადებებით გამოწვეული სხვა პიროვნული და ქცევითი აშლილობანი, დაუზუსტებელი (F07.9)	0
F09       	დაუზუსტებელი ორგანული და სიმპტომატური ფსიქიკური აშლილობანი (F09)	0
F10.0     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.მწვავე ინტოქსიკაცია. (F10.0)	0
F10.1     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F10.1)	0
F10.2     	ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F10.2)	0
F10.3     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F10.3)	0
F10.4     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა დელირიუმით (F10.4)	0
F10.5     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოზური აშლილობა (F10.5)	0
F10.6     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ამნეზიური სინდრომი. (F10.6)	0
F10.7     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F10.7)	0
F10.8     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. სხვა ფსიქიკური და ქცევითი აშლილობანი. (F10.8)	0
F10.9     	ალკოჰოლის მიღებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F10.9)	0
F11.0     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  მწვავე ინტოქსიკაცია. (F11.0)	0
F11.1     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F11.1)	0
F11.2     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F11.2)	0
F11.3     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F11.3)	0
F11.4     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა დელირიუმით (F11.4)	0
F11.5     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოზური აშლილობა (F11.5)	0
F11.6     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ამნეზიური სინდრომი. (F11.6)	0
F11.7     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F11.7)	0
F11.8     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  სხვა ფსიქიკური და ქცევითი აშლილობანი. (F11.8)	0
F11.9     	ოპიოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F11.9)	0
F12.0     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  მწვავე ინტოქსიკაცია. (F12.0)	0
F12.1     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F12.1)	0
F12.2     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F12.2)	0
F12.3     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F12.3)	0
F12.4     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა დელირიუმით (F12.4)	0
F12.5     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოზური აშლილობა (F12.5)	0
F12.6     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ამნეზიური სინდრომი. (F12.6)	0
F12.7     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F12.7	0
F12.8     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  სხვა ფსიქიკური და ქცევითი აშლილობანი. (F12.8)	0
F12.9     	კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F12.9)	0
F13.0     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. მწვავე ინტოქსიკაცია. (F13.0)	0
F13.1     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგე	0
F13.2     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F1	0
F13.3     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდ	0
F13.4     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა დელირიუმით (F13.4)	0
F13.5     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოზური აშლილობა (F13.5)	0
F13.6     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ამნეზიური სინდრომი. (F13.6)	0
F13.7     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური ა	0
F13.8     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. სხვა ფსიქიკური და ქცევითი აშლილობანი. (F13.8)	0
F13.9     	სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F13.9)	0
F14.0     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  მწვავე ინტოქსიკაცია. (F14.0)	0
F14.1     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F14.1)	0
F14.2     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F14.2)	0
F14.3     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F14.3)	0
F14.4     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა დელირიუმით (F14.4)	0
F14.5     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოზური აშლილობა (F14.5)	0
F14.6     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ამნეზიური სინდრომი. (F14.6)	0
F14.7     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F14.7)	0
F14.8     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  სხვა ფსიქიკური და ქცევითი აშლილობანი. (F14.8)	0
F14.9     	კოკაინის მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F14.9)	0
F15.0     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. მწვავე ინტოქსიკაცია. (F15.0)	0
F15.1     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნ	0
F15.2     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდ	0
F15.3     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხს	0
F15.4     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა დელირიუმით (F15.4)	0
F15.5     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოზური აშლილობა (F15.5)	0
F15.6     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ამნეზიური სინდრომი. (F15.6)	0
F15.7     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსი	0
F15.8     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. სხვა ფსიქიკური და ქცევითი აშლილობანი. (F15.8)	0
F15.9     	სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F15.	0
F16.0     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  მწვავე ინტოქსიკაცია. (F16.0)	0
F16.1     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F16.1)	0
F16.2     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F16.2)	0
F16.3     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F16.3)	0
F16.4     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა დელირიუმით (F16.4)	0
F16.5     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოზური აშლილობა (F16.5)	0
F16.6     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ამნეზიური სინდრომი. (F16.6)	0
F16.7     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F16.	0
F16.8     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  სხვა ფსიქიკური და ქცევითი აშლილობანი. (F16.8)	0
F16.9     	ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F16.9)	0
F17.0     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  მწვავე ინტოქსიკაცია. (F17.0)	0
F17.1     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F17.1)	0
F17.2     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F17.2)	0
F17.3     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F17.3)	0
F17.4     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  აღკვეთის მდგომარეობა დელირიუმით (F17.4)	0
F17.5     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ფსიქოზური აშლილობა (F17.5)	0
F17.6     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  ამნეზიური სინდრომი. (F17.6)	0
F17.7     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F17.7)	0
F17.8     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  სხვა ფსიქიკური და ქცევითი აშლილობანი. (F17.8)	0
F17.9     	თამბაქოთი გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.  დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F17.9)	0
F18.0     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   მწვავე ინტოქსიკაცია. (F18.0)	0
F18.1     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   ფსიქოაქტიურ ნივთიერებათა მოხმარებით გამოწვეული მავნე შედეგები. (F18.1)	0
F18.2     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F18.2)	0
F18.3     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდრომი). (F18.3)	0
F18.4     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   აღკვეთის მდგომარეობა დელირიუმით (F18.4)	0
F18.5     	ვოლატილის გამხსნელებით გამოწვეული ფსიქიკური და ქცევითი აშლილობანი.   ფსიქოზური აშლილობა (F18.5)	0
